article_id,prod_name,product_type_name,product_group_name,perceived_colour_value_name,perceived_colour_master_name,department_name,section_name,detail_desc,text_to_embed,image_url
0854780001,Violetta Woven Pull-ons,Trousers,Garment Lower body,Dark,Black,Trousers,Divided Collection,"Ankle-length trousers in an airy viscose weave. High waist with covered elastication, a small frill trim and decorative ties, side pockets and slightly wider, tapered legs.","Violetta Woven Pull-ons Trousers Garment Lower body Solid Black Dark Black Trousers Divided Divided Divided Collection Trousers Ankle-length trousers in an airy viscose weave. High waist with covered elastication, a small frill trim and decorative ties, side pockets and slightly wider, tapered legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/085/0854780001.jpg
0611062003,GDC Zoe,Blouse,Garment Upper body,Light,White,Blouse,Womens Everyday Collection,"Blouse in a patterned, crinkled weave with an opening and button at the back of the neck and long sleeves with a flounced trim that continues over the shoulders. Unlined.","GDC Zoe Blouse Garment Upper body All over pattern White Light White Blouse Ladieswear Ladieswear Womens Everyday Collection Blouses Blouse in a patterned, crinkled weave with an opening and button at the back of the neck and long sleeves with a flounced trim that continues over the shoulders. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/061/0611062003.jpg
0915523001,Saint,Dress,Garment Full body,Dusty Light,Beige,Dress,Womens Everyday Collection,"Short, A-line dress in an airy cotton weave with a frill-trimmed Peter Pan collar and buttons down the front. Short, lined puff sleeves with narrow, buttoned cuffs. Unlined.","Saint Dress Garment Full body All over pattern Light Beige Dusty Light Beige Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Short, A-line dress in an airy cotton weave with a frill-trimmed Peter Pan collar and buttons down the front. Short, lined puff sleeves with narrow, buttoned cuffs. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/091/0915523001.jpg
0745475006,Sorrel,Dress,Garment Full body,Dusty Light,Blue,Dress,Womens Everyday Collection,"Short dress in woven fabric with a small stand-up collar and V-neck opening at the top. Dropped shoulders, short sleeves and a rounded hem. Slightly longer at the back.","Sorrel Dress Garment Full body Denim Light Blue Dusty Light Blue Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Short dress in woven fabric with a small stand-up collar and V-neck opening at the top. Dropped shoulders, short sleeves and a rounded hem. Slightly longer at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/074/0745475006.jpg
0593139006,Brenda Denim dungaree,Trousers,Garment Lower body,Light,White,Trousers,Divided Collection,"Dungarees in washed stretch denim with hard-worn details. Adjustable straps, a zip at the side, a chest pocket, side pockets, coin pocket, back pockets and slim legs.","Brenda Denim dungaree Trousers Garment Lower body Solid White Light White Trousers Divided Divided Divided Collection Trousers Dungarees in washed stretch denim with hard-worn details. Adjustable straps, a zip at the side, a chest pocket, side pockets, coin pocket, back pockets and slim legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/059/0593139006.jpg
0733362001,SECTION SPEED: Juno,Dress,Garment Full body,Dark,Red,Dress,Womens Everyday Collection,"Calf-length dress in a viscose jacquard weave with a V-neck and wrapover front with a hook-and-eye fastener. Long sleeves with gathers and narrow, buttoned cuffs, and a seam at the waist with two concealed press-studs and a narrow tie at one side. Unlined.","SECTION SPEED: Juno Dress Garment Full body Jacquard Dark Red Dark Red Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Calf-length dress in a viscose jacquard weave with a V-neck and wrapover front with a hook-and-eye fastener. Long sleeves with gathers and narrow, buttoned cuffs, and a seam at the waist with two concealed press-studs and a narrow tie at one side. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/073/0733362001.jpg
0591444007,Briony dress W,Dress,Garment Full body,Dark,Black,Dresses,Divided Collection,"Short dress in airy, patterned chiffon with a frill-trimmed opening at the back and button at the back of the neck. Concealed zip in one side, long sleeves with smocking at the cuffs, a seam at the waist and gently flared skirt with a flounce at the hem. Double-layered bodice at the front and short jersey lining skirt.","Briony dress W Dress Garment Full body All over pattern Black Dark Black Dresses Divided Divided Divided Collection Dresses Ladies Short dress in airy, patterned chiffon with a frill-trimmed opening at the back and button at the back of the neck. Concealed zip in one side, long sleeves with smocking at the cuffs, a seam at the waist and gently flared skirt with a flounce at the hem. Double-layered bodice at the front and short jersey lining skirt.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/059/0591444007.jpg
0872074001,Liza SS Boilersuit,Trousers,Garment Lower body,Dark,Khaki green,Trousers,Divided Collection,"Short-sleeved boiler suit in cotton twill with a soft, brushed finish. Notch lapels, a V-neck and a yoke with a pleat at the back. Flap chest pockets, front pockets, a detachable tie belt at the waist and tapered legs with elasticated hems.","Liza SS Boilersuit Trousers Garment Lower body Solid Greenish Khaki Dark Khaki green Trousers Divided Divided Divided Collection Trousers Short-sleeved boiler suit in cotton twill with a soft, brushed finish. Notch lapels, a V-neck and a yoke with a pleat at the back. Flap chest pockets, front pockets, a detachable tie belt at the waist and tapered legs with elasticated hems.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/087/0872074001.jpg
0781423001,BamBam DNM,Trousers,Garment Lower body,Medium,Blue,Trousers,Divided Collection,"Trousers in soft cotton denim with a high waist, zip fly and hook-and-eye fasteners. Belt with D-rings, side pockets, back pockets and skinny legs.","BamBam DNM Trousers Garment Lower body Solid Dark Blue Medium Blue Trousers Divided Divided Divided Collection Trousers Trousers in soft cotton denim with a high waist, zip fly and hook-and-eye fasteners. Belt with D-rings, side pockets, back pockets and skinny legs.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/078/0781423001.jpg
0693584003,Lotus,Dress,Garment Full body,Dark,Green,Dress,Womens Everyday Collection,"Short, straight-cut lace dress with a round neckline, concealed zip at the back, padded shoulders and long sleeves. Partly lined.","Lotus Dress Garment Full body Lace Dark Green Dark Green Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Short, straight-cut lace dress with a round neckline, concealed zip at the back, padded shoulders and long sleeves. Partly lined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/069/0693584003.jpg
0623471001,Leon short,Trousers,Garment Lower body,Dark,Black,Trousers,Divided Collection,High-waisted trousers in washed stretch twill with a concealed zip in one side and slim legs.,Leon short Trousers Garment Lower body Solid Black Dark Black Trousers Divided Divided Divided Collection Trousers High-waisted trousers in washed stretch twill with a concealed zip in one side and slim legs.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/062/0623471001.jpg
0873966006,Kylejohn A-line-W,Dress,Garment Full body,Dusty Light,White,Dresses,Divided Collection,"Short, A-line dress in a crêpe weave with spaghetti shoulder straps and gathered tiers.","Kylejohn A-line-W Dress Garment Full body Solid Off White Dusty Light White Dresses Divided Divided Divided Collection Dresses Ladies Short, A-line dress in a crêpe weave with spaghetti shoulder straps and gathered tiers.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/087/0873966006.jpg
0412707028,Julia,Trousers,Garment Lower body,Dark,Black,Trousers,Divided Collection,5-pocket jeans in washed superstretch denim with a regular waist and super-skinny legs.,Julia Trousers Garment Lower body Solid Black Dark Black Trousers Divided Divided Divided Collection Trousers 5-pocket jeans in washed superstretch denim with a regular waist and super-skinny legs.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/041/0412707028.jpg
0686071003,R-neck Tasker,Sweater,Garment Upper body,Dusty Light,Beige,Knitwear,Men Suits & Tailoring,"Jumper in a textured, premium cotton knit with long raglan sleeves and ribbing around the neckline, cuffs and hem.","R-neck Tasker Sweater Garment Upper body Other structure Light Beige Dusty Light Beige Knitwear Menswear Menswear Men Suits & Tailoring Knitwear Jumper in a textured, premium cotton knit with long raglan sleeves and ribbing around the neckline, cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/068/0686071003.jpg
0865520001,Luca,Dress,Garment Full body,Dark,Black,Dress,Womens Everyday Collection,Calf-length dress in a viscose weave with a V-neck and short puff sleeves with narrow elastication at the hems. Gathered seams at the waist and hem for added width. Lined at the top of the front.,Luca Dress Garment Full body All over pattern Black Dark Black Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Calf-length dress in a viscose weave with a V-neck and short puff sleeves with narrow elastication at the hems. Gathered seams at the waist and hem for added width. Lined at the top of the front.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/086/0865520001.jpg
0540901001,Aurora playsuit,Shorts,Garment Lower body,Dark,Black,Trouser,Womens Everyday Collection,"Playsuit in a patterned weave with a V-neck at the front with a concealed hook-and-eye fastener at the top. Long trumpet sleeves, a narrow, elasticated seam at the waist and a detachable tie belt. Side pockets and wide legs. Unlined.","Aurora playsuit Shorts Garment Lower body All over pattern Black Dark Black Trouser Ladieswear Ladieswear Womens Everyday Collection Trousers Playsuit in a patterned weave with a V-neck at the front with a concealed hook-and-eye fastener at the top. Long trumpet sleeves, a narrow, elasticated seam at the waist and a detachable tie belt. Side pockets and wide legs. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/054/0540901001.jpg
0927559001,CLOUDBERRY DRESS,Dress,Garment Full body,Dark,Black,Dresses,Divided Collection,"Short dress in a crêpe weave with a stand-up collar and V-shaped opening at the top with ties at the front. 3/4-length puff sleeves with buttoned cuffs, a seam at the hips and flared skirt. Unlined.","CLOUDBERRY DRESS Dress Garment Full body Solid Black Dark Black Dresses Divided Divided Divided Collection Dresses Ladies Short dress in a crêpe weave with a stand-up collar and V-shaped opening at the top with ties at the front. 3/4-length puff sleeves with buttoned cuffs, a seam at the hips and flared skirt. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/092/0927559001.jpg
0662230005,Kim dungaree W,Jumpsuit/Playsuit,Garment Full body,Light,Blue,Dresses,Divided Collection,"Short, gently fitted dungaree dress with wide, adjustable shoulder straps and buttons down the front. Unlined.","Kim dungaree W Jumpsuit/Playsuit Garment Full body Denim Blue Light Blue Dresses Divided Divided Divided Collection Dresses Ladies Short, gently fitted dungaree dress with wide, adjustable shoulder straps and buttons down the front. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/066/0662230005.jpg
0663664001,Oregano,Cardigan,Garment Upper body,Dark,Khaki green,Knitwear,Contemporary Smart,"Cardigan in soft, fine-knit cotton with a V-neck, buttons down the front, long sleeves and ribbing at the cuffs and hem.","Oregano Cardigan Garment Upper body Melange Greenish Khaki Dark Khaki green Knitwear Menswear Menswear Contemporary Smart Knitwear Cardigan in soft, fine-knit cotton with a V-neck, buttons down the front, long sleeves and ribbing at the cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/066/0663664001.jpg
0707135005,Vivi boatneck,Sweater,Garment Upper body,Dark,Blue,Knitwear,Womens Tailoring,Jumper in a fine-knit viscose blend with a boat neck and 3/4-length sleeves.,Vivi boatneck Sweater Garment Upper body Stripe Dark Blue Dark Blue Knitwear Ladieswear Ladieswear Womens Tailoring Knitwear Jumper in a fine-knit viscose blend with a boat neck and 3/4-length sleeves.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/070/0707135005.jpg
0739953002,Lennox,Blouse,Garment Upper body,Dark,Black,Blouse,Womens Everyday Collection,"V-neck blouse in an airy weave with a slight sheen and velvety-smooth finish. Stand-up collar, long sleeves, wide cuffs with covered buttons, a yoke with a pleat at the back, and a rounded hem. Slightly longer at the back.","Lennox Blouse Garment Upper body Solid Black Dark Black Blouse Ladieswear Ladieswear Womens Everyday Collection Blouses V-neck blouse in an airy weave with a slight sheen and velvety-smooth finish. Stand-up collar, long sleeves, wide cuffs with covered buttons, a yoke with a pleat at the back, and a rounded hem. Slightly longer at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/073/0739953002.jpg
0619907001,Tyler bodycon J,Dress,Garment Full body,Light,White,Dresses,Divided Collection,Sleeveless jersey dress in a short and fitted style.,Tyler bodycon J Dress Garment Full body All over pattern White Light White Dresses Divided Divided Divided Collection Dresses Ladies Sleeveless jersey dress in a short and fitted style.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/061/0619907001.jpg
0880749002,Riviera s/s,Dress,Garment Full body,Dusty Light,Beige,Dresses,Divided Collection,"Short, wide dress in a viscose crêpe weave. Round, lace-trimmed neckline with a V-shaped opening and twisted ties at the front, short sleeves and gathered, lace-trimmed seams on the skirt. Unlined.","Riviera s/s Dress Garment Full body Solid Light Beige Dusty Light Beige Dresses Divided Divided Divided Collection Dresses Ladies Short, wide dress in a viscose crêpe weave. Round, lace-trimmed neckline with a V-shaped opening and twisted ties at the front, short sleeves and gathered, lace-trimmed seams on the skirt. Unlined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/088/0880749002.jpg
0621474001,Rocky,Blouse,Garment Upper body,Dark,Blue,Dress,Womens Everyday Collection,"Tunic in woven fabric with a pleat at the front and bell-shaped hem. V-neck, dropped shoulders, yoke with a pleat at the back and long sleeves with buttoned cuffs. Slightly longer at the back.","Rocky Blouse Garment Upper body Stripe Dark Blue Dark Blue Dress Ladieswear Ladieswear Womens Everyday Collection Dresses Ladies Tunic in woven fabric with a pleat at the front and bell-shaped hem. V-neck, dropped shoulders, yoke with a pleat at the back and long sleeves with buttoned cuffs. Slightly longer at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/062/0621474001.jpg
0766572002,Olaf slim buckle trs,Trousers,Garment Lower body,Medium Dusty,Grey,Trouser,Men Suits & Tailoring,"Suit trousers in a softly draping weave made from a wool blend with an extended waistband, concealed hook-and-eye fastener and adjustable tabs with a metal fastener at the sides. Zip fly, side pockets and jetted back pockets with a button. Slightly shorter legs with creases and turn-ups at the hems. Slim fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette.","Olaf slim buckle trs Trousers Garment Lower body Other structure Grey Medium Dusty Grey Trouser Menswear Menswear Men Suits & Tailoring Trousers Suit trousers in a softly draping weave made from a wool blend with an extended waistband, concealed hook-and-eye fastener and adjustable tabs with a metal fastener at the sides. Zip fly, side pockets and jetted back pockets with a button. Slightly shorter legs with creases and turn-ups at the hems. Slim fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/076/0766572002.jpg
0619907002,Tyler bodycon J,Dress,Garment Full body,Bright,Blue,Dresses,Divided Collection,Sleeveless jersey dress in a short and fitted style.,Tyler bodycon J Dress Garment Full body Solid Dark Blue Bright Blue Dresses Divided Divided Divided Collection Dresses Ladies Sleeveless jersey dress in a short and fitted style.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/061/0619907002.jpg
0378135034,R-Neck Pisa TVP R,Sweater,Garment Upper body,Medium Dusty,Mole,Knitwear,Men Suits & Tailoring,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem.","R-Neck Pisa TVP R Sweater Garment Upper body Melange Dark Beige Medium Dusty Mole Knitwear Menswear Menswear Men Suits & Tailoring Knitwear Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/037/0378135034.jpg
0779612001,Andy check skinny trs,Trousers,Garment Lower body,Light,Blue,Trouser,Men Suits & Tailoring,"Checked suit trousers in a stretch weave with an extended waistband with hook-and-eye fasteners, and a zip fly. Diagonal side pockets, and jetted back pockets with a button. Skinny Fit – a fit with slightly shorter legs that is close-fitting at the thighs, knees and ankles to create a completely fitted silhouette.","Andy check skinny trs Trousers Garment Lower body Check Light Blue Light Blue Trouser Menswear Menswear Men Suits & Tailoring Trousers Checked suit trousers in a stretch weave with an extended waistband with hook-and-eye fasteners, and a zip fly. Diagonal side pockets, and jetted back pockets with a button. Skinny Fit – a fit with slightly shorter legs that is close-fitting at the thighs, knees and ankles to create a completely fitted silhouette.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/077/0779612001.jpg
0751998002,Melrose,Shirt,Garment Upper body,Dusty Light,Blue,Blouse,Womens Everyday Collection,"Shirt in an airy cotton weave with a collar, buttons down the front and a yoke with a pleat at the back. Chest pocket, long sleeves with buttoned cuffs, and a gently rounded hem. Longer at the back.","Melrose Shirt Garment Upper body Stripe Light Blue Dusty Light Blue Blouse Ladieswear Ladieswear Womens Everyday Collection Blouses Shirt in an airy cotton weave with a collar, buttons down the front and a yoke with a pleat at the back. Chest pocket, long sleeves with buttoned cuffs, and a gently rounded hem. Longer at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/075/0751998002.jpg
0504154011,Lady Di,Sweater,Garment Upper body,Dark,Red,Knitwear,Womens Everyday Collection,"Wide, long-sleeved jumper in a soft, rib knit containing some wool.","Lady Di Sweater Garment Upper body Solid Dark Red Dark Red Knitwear Ladieswear Ladieswear Womens Everyday Collection Knitwear Wide, long-sleeved jumper in a soft, rib knit containing some wool.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/050/0504154011.jpg
0764132001,Vickan dress,Dress,Garment Full body,Bright,Red,Dresses,Divided Collection,"Short dress in patterned chiffon with frill trims and a V-neck with a concealed press-stud at the neckline. Sewn-in wrapover and an elasticated seam at the waist, and long sleeves with narrow elastication and a frill at the cuffs. Lined.","Vickan dress Dress Garment Full body All over pattern Red Bright Red Dresses Divided Divided Divided Collection Dresses Ladies Short dress in patterned chiffon with frill trims and a V-neck with a concealed press-stud at the neckline. Sewn-in wrapover and an elasticated seam at the waist, and long sleeves with narrow elastication and a frill at the cuffs. Lined.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/076/0764132001.jpg
0651558013,Panda Dress,Dress,Garment Full body,Dark,Blue,Dresses,Divided Collection,"Short, sleeveless dress in sturdy jersey with a low-cut back, seam at the waist and flared skirt. The polyester content of the dress is partly recycled.","Panda Dress Dress Garment Full body Stripe Dark Blue Dark Blue Dresses Divided Divided Divided Collection Dresses Ladies Short, sleeveless dress in sturdy jersey with a low-cut back, seam at the waist and flared skirt. The polyester content of the dress is partly recycled.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/065/0651558013.jpg
0828536001,Ben zip hoodie,Sweater,Garment Upper body,Dusty Light,White,Knitwear,Womens Tailoring,"Fine-knit jacket in a soft viscose blend with a drawstring hood, zip and front pockets. Gently dropped shoulders and ribbing at the cuffs and hem.","Ben zip hoodie Sweater Garment Upper body Solid Off White Dusty Light White Knitwear Ladieswear Ladieswear Womens Tailoring Knitwear Fine-knit jacket in a soft viscose blend with a drawstring hood, zip and front pockets. Gently dropped shoulders and ribbing at the cuffs and hem.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/082/0828536001.jpg
